Title,Id,Category,Reg. Price,Price,Image,Description,Height,Width,Length,Glass,Safety Listing,Weight,Chain,Wire,Number of Bulbs,Max Wattage,Bulb Base,Light Sourse,Dimmable,Bulb Voltage,Manufacturers_warranty,Finish,UPC,Instructions,Parts Diagram,Extension,Shipped Via,Bulbs Included,Bulb Type,Color Temp,CRI,Light Output,Rated Avg Life,Canopy
Long Wall Sconce,566149,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/566149.jpg,"The Santa Barbara Collection was inspired by Colonial Mexico`s Mission Churches and Cathedrals. The long history of hand-crafted wrought iron, shared by both Mexico and Kalco, come together to create a series of lighting pieces that are made versatile by Kalco`s extensive selection of exclusive, hand-crafted shades.","36""","19.5""",,,"UL, cUL",12lb,,"6""",2,,,,,120V,,,,,,"10""",UPS Oversize,,Candelabra,,,,,11 x 4.75
One Light Wall Sconce,562441,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/562441.jpg,Transitional solid brass sconce in polished nickel finish with white acrylic shade.,"72""","4""",,,,10lb,,,1,75W,Medium,,,,,Silver,,,,"4""",,,T 8,,,,,
One Light Wall Sconce,562439,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/562439.jpg,Transitional solid brass sconce in polished nickel finish.,"39""","4.25""",,,,4lb,,,1,60W,Candelabra,,,,,Silver,,,,"5""",,,B-10,,,,,
One Light Wall Sconce,562110,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/562110.jpg,Sconce in antiqued finish with gold leaf accents. Features open cage. ADA Compliant.,"62""","11""",,,,8lb,,,1,60W,Candelabra,,,,,Other Dark,,,,"4""",,,B-10,,,,,
Sconce Direct,556534,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/556534.jpg,"Direct wire wall sconce with acrylic options, Leaf Silhouette. ADA compliant.","48.5""","9.5""",,,"UL, CUL",,,,2,,,Fluorescent,,120V,,Various,,,,"1.9""",Ground,,T-5 fluorescent,,,,,
Sconce Direct,556533,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/556533.jpg,"Direct wire wall sconce with acrylic options, Ono. ADA compliant.","42""","6.5""",,,"UL, CUL",25.7lb,,,1,,,Fluorescent,,120V,,Various,,,,"3.3""",Ground,,T-5 fluorescent,,,,,
Sconce Direct,556530,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/556530.jpg,"Direct wire Gallery sconce, 5` Fluorescent. ADA compliant.","59.2""","4.3""",,,"UL, CUL",,,,1,,,Fluorescent,,120V,,Various,,,,"3.2""",Ground,,T-5 fluorescent,,,,,
Sconce Direct,556404,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/556404.jpg,"Direct wire wall sconce with glass options: Antasia. Diffuser included. U.S. Patent D631,190.","29.1""","16.3""",,,"UL, CUL",,,,1,,,Incandescent,,120V,,Various,,,,"8.4""",Ground,Yes,G-9,,,,,
One Light Wall Sconce,555938,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/555938.jpg,"Thick Twisted Glass Column With Polished Chrome Plated Details, Crystal Accents And A Hardback, White Linen Fabric Shade.","46""","10.5""",,,,6lb,,1',1,60W,E12,,,110V,,Polished Chrome,,,,"9""",UPS,,B,,,,,
Six Light Wall Sconce,553181,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/553181.jpg,"Inspired by a wall climbing vine, the Sprig series blends complimentary elements into a stunning wall art sculpture or dining room fixture. Offsetting thick branches provide a realistic appearance, while a hand applied Silver Leaf finish and cream fabric","65""","19""",,Cream,,13lb,,,6,60W,Candelabra,,,,,Silver Leaf,,,,"9""",,,,,,,,5
