Title,Id,Category,Reg. Price,Price,Image,Description,Height,Width,Length,Glass,Safety Listing,Weight,Chain,Wire,Number of Bulbs,Max Wattage,Bulb Base,Light Sourse,Dimmable,Bulb Voltage,Manufacturers_warranty,Finish,UPC,Instructions,Parts Diagram,Extension,Shipped Via,Bulbs Included,Bulb Type,Color Temp,CRI,Light Output,Rated Avg Life,Canopy
LED In-Ground,627770,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627770.jpg,12V 14W LED IN-GROUND - A specification-grade LED in-ground fixture - 2700K WARM WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,5,13.9W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,2700K,80,,40000,
LED In-Ground,627769,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627769.jpg,12V 14W LED IN-GROUND - A specification-grade LED in-ground fixture - 3000K PURE WHITE in Bronzed Brass with a 10 degree spot.,"11""","6.5""","6.5""",,Wet,4lb,,,5,13.9W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,3000K,80,,40000,
LED In-Ground,627768,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627768.jpg,12V 14W LED IN-GROUND - A specification-grade LED in-ground fixture - 2700K WARM WHITE in Bronzed Brass with a 10 degree spot.,"11""","6.5""","6.5""",,Wet,4lb,,,5,13.9W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,2700K,80,,40000,
LED In-Ground,627767,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627767.jpg,12V 6.5W LED IN-GROUND - A specification-grade LED in-ground fixture - 3000K PURE WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,5,6.4W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,3000K,80,,40000,
LED In-Ground,627766,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627766.jpg,12V 6.5W LED IN-GROUND - A specification-grade LED in-ground fixture - 2700K WARM WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,5,6.4W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,2700K,80,,40000,
LED In-Ground,627765,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627765.jpg,12V 6.5W LED IN-GROUND - A specification-grade LED in-ground fixture - 3000K PURE WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,5,6.4W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,3000K,80,,400000,
LED In-Ground,627764,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627764.jpg,12V 6.5W LED IN-GROUND - A specification-grade LED in-ground fixture - 2700K WARM WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,5,6.4W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,2700K,80,,40000,
LED In-Ground,627763,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627763.jpg,12V 6.5W LED IN-GROUND - A specification-grade LED in-ground fixture - 3000K PURE WHITE in Bronzed Brass with a 10 degree spot.,"11""","6.5""","6.5""",,Wet,4lb,,,5,6.4W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,3000K,80,,40000,
LED In-Ground,627762,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627762.jpg,12V 6.5W LED IN-GROUND - A specification-grade LED in-ground fixture - 2700K WARM WHITE in Bronzed Brass with a 10 degree spot.,"11""","6.5""","6.5""",,Wet,4lb,,,5,6.4W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,2700K,80,,40000,
LED Landscape,627761,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627761.jpg,12V 4W LED IN-GROUND - A specification-grade LED in-ground fixture - 3000K PURE WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,1,3.8W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,3000K,80,,40000,
LED Landscape,627760,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627760.jpg,12V 4W LED IN-GROUND - A specification-grade LED in-ground fixture - 2700K WARM WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,1,3.8W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,2700K,80,,40000,
LED Landscape,627759,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627759.jpg,12V 4W LED IN-GROUND - A specification-grade LED in-ground fixture - 3000K PURE WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,1,3.8W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,3000K,80,,40000,
LED Landscape,627758,"Landscape Ltg., Well Lights",,Call for Price,https://cdn.lightsamerica.com/images/SM5/627758.jpg,12V 4W LED IN-GROUND - A specification-grade LED in-ground fixture - 2700K WARM WHITE in Bronzed Brass with a 35 degree flood.,"11""","6.5""","6.5""",,Wet,4lb,,,1,3.8W,,LED,,12V,,Bronzed Brass,,,,,UPS,Yes,,2700K,80,,40000,
